,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES,LPJ-GUESS,LPX-Bern,ORCHIDEE,SDGVM,VISIT-NIES
1995,3.8406324,3.6251318,0.21912225,-5.4673376,-4.5394998,1.5417845,1.0356544,0.40577945,7.985964,0.21366009,2.0195472,6.760421,7.961472,-6.428059
1996,4.2336893,4.4306264,0.7177999,-5.7355833,-5.539137,1.3274466,1.0354241,0.44672057,8.071641,-0.084902994,2.074904,6.500354,7.9187117,-6.3164263
1997,4.099958,4.288878,0.50887394,-5.8078117,-6.738134,1.6178107,1.1319599,0.42911524,7.7894726,0.39702025,2.0066164,6.4501834,7.377375,-6.2613654
1998,4.249222,4.7019286,0.792943,-5.4363184,-6.0716286,1.6904223,1.1216159,0.42657757,7.6874294,-0.019458111,2.017496,6.614288,7.7734303,-6.433236
1999,4.1774716,4.269106,0.6099024,-5.719362,-6.5127816,1.7814397,0.8068718,0.44038153,7.769298,0.2897366,2.0878706,6.2977133,7.393108,-6.3088627
2000,4.205243,5.3437777,0.8620606,-5.6191583,-5.2214622,1.7035869,0.9150473,0.44700804,7.746138,0.46726882,1.9570712,6.4672565,7.6401067,-6.4389825
2001,4.1045823,4.210073,0.75262564,-5.563827,-5.659322,1.634144,1.1086853,0.41671807,7.464461,0.36658517,1.917212,6.3766413,7.7165904,-6.242233
2002,4.4392915,2.2643473,0.7952821,-5.498551,-4.874665,1.8824643,0.77623963,0.41407025,7.7984247,0.35154197,1.9935626,6.796458,8.1455,-6.4366903
2003,4.5324264,5.175373,0.42293814,-6.0125294,-5.3856807,2.2294252,0.84937805,0.43811738,8.068069,0.3782604,2.0928361,7.119074,7.7773747,-6.4751887
2004,4.5680094,5.481692,1.0668705,-5.6526265,-6.2430525,1.9445052,0.9595437,0.46979803,7.5199695,0.73740745,1.9476085,6.9753847,8.016373,-6.369689
2005,4.304346,7.3149014,0.8350816,-5.933876,-5.813022,2.3828168,1.0429578,0.43407893,7.6746554,0.7316084,2.0469592,6.9681544,8.287472,-6.469068
2006,4.4034386,5.671647,0.9383669,-6.248612,-5.8277016,1.9275951,0.9076368,0.45566803,7.654253,0.8312755,1.9393709,7.033654,7.9042287,-6.6185975
2007,4.604244,3.9187047,0.854794,-5.8369374,-6.307233,2.620305,0.9024648,0.4441023,7.9180074,0.7341961,1.9593217,6.8719745,8.054802,-6.735431
2008,4.5602846,4.4253635,0.73804325,-6.279588,-7.5756598,2.29804,1.0264796,0.46423483,7.8195624,0.6478847,2.0889802,7.0287123,8.063869,-6.6078205
2009,4.5556293,6.8193727,1.2376391,-6.3826737,-7.411277,2.69576,0.82073426,0.4676865,7.2842917,0.56379944,1.9141207,7.093835,7.823855,-6.60506
2010,4.7025204,4.8287797,1.2994298,-6.358429,-6.4220834,2.4264665,0.86614394,0.45721963,7.8384376,0.5671082,1.9527979,7.3612943,7.888677,-6.689218
2011,4.4820685,6.344138,1.0804347,-5.8993874,-7.3654494,2.822926,0.9854098,0.43437946,7.672337,0.89553374,2.0521202,7.0620117,7.96644,-6.8896747
2012,5.1591806,5.4081736,1.0795822,-6.324517,-6.6167064,2.6822143,0.88659644,0.46392372,7.4684334,0.90471685,2.143182,7.3958826,8.472762,-6.828229
2013,5.15648,7.2332835,1.407596,-6.133956,-6.1950917,3.0882611,0.8809285,0.48443896,7.3826675,0.9613812,2.052857,7.1562734,8.14992,-6.714667
2014,5.0514817,7.6186914,0.894986,-6.060992,-6.578933,2.6592753,0.95393485,0.47553855,7.833137,0.9620221,1.8954549,7.598611,8.320645,-6.777602
2015,4.7916675,4.3712687,0.7484009,-6.489316,-6.888315,3.3739874,0.92969316,0.45657554,7.8192306,1.1948875,2.0841384,7.847133,8.5444565,-6.9563065
2016,5.0806136,6.1089783,1.3167886,-6.7342033,-7.4539566,2.9735582,0.99685305,0.5070888,7.352586,0.94447064,2.0151148,7.84152,8.2216625,-6.9102497
2017,4.8352156,7.5932374,1.1120515,-6.8598824,-7.767903,3.4975905,1.0638078,0.49122554,7.274636,1.3035399,1.9893131,7.67535,7.8930044,-6.83176
2018,4.8639865,6.3021502,1.2969549,-6.341797,-7.3853726,3.4488525,1.0880187,0.47648105,7.1672125,0.99146307,1.9970803,7.8835673,8.516697,-7.0153713
2019,4.930472,6.3228664,1.2265773,-6.766484,-7.656941,3.7173774,0.74720883,0.48161274,7.40236,1.2446921,2.1111739,7.5076056,8.068707,-6.9785376
2020,4.7542043,8.0967,1.4383498,-6.4796343,-6.793774,3.5609763,0.9300796,0.49609402,6.802408,1.5967013,1.9842557,7.8174667,8.136521,-6.9863567
